Year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis
1990,2,12,3,4,0,4,2,0,7,0,1,170,22,10,3,1,0,3,0,75,0,34,14,1,3,6,7,9,17,"2",0
1991,2,13,3,4,0,4,2,0,5,0,1,173,23,10,3,1,0,3,0,77,1,36,15,1,4,6,7,9,17,"2",0
1992,2,13,3,4,0,4,3,0,6,0,1,175,23,10,3,1,0,3,0,79,0,37,15,1,4,6,7,9,17,"2",0
1993,2,13,3,4,0,4,3,0,7,0,1,186,25,11,3,1,0,3,0,84,0,40,16,1,4,7,8,10,18,"2",0
1994,2,13,3,4,0,4,3,0,9,0,1,186,25,11,3,2,0,3,0,85,0,41,16,1,4,7,8,10,18,"2",0
1995,2,13,3,3,0,4,4,0,9,0,1,187,25,12,3,2,2,3,0,86,0,41,16,1,3,7,8,10,18,"2",0
1996,2,13,3,3,0,4,3,0,10,0,1,175,24,12,3,2,0,3,0,80,0,40,16,1,3,7,7,9,17,"2",0
1997,2,13,3,3,0,4,3,0,8,0,1,171,24,12,4,2,32,2,0,80,0,39,15,1,3,7,7,9,17,"2",0
1998,2,13,3,3,0,4,3,0,8,0,1,169,24,12,4,2,2,2,0,81,0,39,16,0,3,7,7,9,17,"2",0
1999,2,14,3,3,0,4,3,0,10,1,1,167,25,11,4,2,2,2,0,83,0,39,17,0,3,7,7,9,17,"2",0
2000,1,14,3,3,0,4,3,0,13,1,1,163,25,11,4,2,0,2,0,86,0,40,18,0,3,7,7,9,17,"2",0
2001,1,14,3,3,0,4,5,0,13,1,0,161,25,11,4,2,0,2,0,86,0,40,18,0,3,7,7,9,17,"2",0
2002,1,14,3,3,0,4,4,0,12,1,0,160,25,10,4,2,0,2,0,88,0,41,19,0,3,7,7,9,17,"2",0
2003,1,14,4,3,0,4,4,0,10,1,0,160,25,10,4,2,0,2,0,89,0,41,19,0,2,6,7,9,17,"2",0
2004,1,14,4,3,0,4,4,0,10,1,0,159,25,9,4,2,0,2,0,91,0,42,20,0,2,6,7,9,17,"2",0
2005,1,14,4,2,0,4,5,0,9,0,0,160,25,9,4,2,0,2,0,92,0,43,21,0,2,6,7,9,17,"2",0
2006,1,14,4,2,0,4,4,0,9,0,0,162,25,8,4,2,0,2,0,96,0,44,22,0,2,6,8,9,18,"2",0
2007,1,15,5,3,0,4,5,0,8,0,0,180,28,8,5,2,0,2,0,112,0,48,25,0,3,5,9,10,20,"2",0
2008,1,15,5,3,0,4,4,0,8,0,0,179,28,7,5,2,0,2,0,114,0,49,26,0,3,5,9,11,20,"2",0
2009,1,15,4,2,0,4,6,0,7,0,0,170,26,7,5,2,0,1,0,108,0,46,26,0,2,5,9,10,19,"2",0
2010,1,15,4,2,0,4,5,0,8,0,0,171,27,6,5,2,0,1,0,110,0,47,27,0,2,5,9,10,19,"2",0
2011,1,15,4,2,0,4,5,0,8,0,0,174,27,6,6,3,0,1,0,113,0,47,28,0,2,5,9,10,20,"2",0
2012,1,15,5,2,0,4,5,0,8,0,0,175,27,6,6,3,0,1,0,116,0,48,29,0,2,6,9,10,20,"2",0
2013,1,15,5,2,0,4,5,0,7,0,0,178,27,5,6,3,0,1,0,117,0,48,31,0,2,6,9,11,20,"2",0
2014,1,15,5,2,0,4,4,0,9,0,0,184,28,5,6,3,0,2,0,121,0,50,32,0,2,6,9,11,21,"2",0
2015,1,16,5,3,0,4,4,0,9,0,0,187,29,5,6,3,0,2,0,124,0,51,34,0,3,6,10,12,22,"2",0
2016,1,16,5,3,0,4,4,0,8,0,0,191,29,5,6,3,0,2,0,128,0,52,35,0,3,6,10,12,22,"2",0
2017,1,16,5,3,0,4,4,0,8,0,0,194,29,5,7,3,1,2,0,131,0,54,35,0,3,6,10,12,23,"2",0
2018,1,16,5,3,0,4,5,0,8,0,0,197,29,5,7,3,0,2,0,134,0,55,36,0,3,7,10,13,23,"2",0
